block n60 sum_rr60 bad60 hold drowsy alert
681 68 14288 0 0 0 0
682 69 14387 0 0 0 0
683 70 14535 0 0 0 0
684 70 14466 0 0 0 0
685 70 14512 0 0 0 0
686 69 14377 0 0 0 0
687 69 14323 0 0 0 0
688 69 14373 0 0 0 0
689 69 14404 0 0 0 0
690 69 14404 0 0 0 0
691 69 14339 0 0 0 0
692 71 14526 0 0 0 0
693 71 14453 0 0 0 0
694 71 14334 0 0 0 0
695 72 14345 0 0 0 0
696 72 14333 0 0 0 0
697 73 14314 0 0 0 0
698 75 14556 0 0 0 0
699 75 14475 0 0 0 0
700 75 14304 0 0 0 0
701 76 14487 0 0 0 0
702 76 14525 0 0 0 0
703 75 14380 0 0 0 0
704 74 14254 0 0 0 0
705 74 14334 0 0 0 0
706 74 14395 0 0 0 0
707 73 14380 0 0 0 0
708 73 14432 0 0 0 0
709 72 14393 0 0 0 0
710 71 14334 0 0 0 0
711 71 14346 0 0 0 0
712 71 14472 0 0 0 0
713 71 14464 0 0 0 0
714 70 14341 0 0 0 0
715 71 14581 0 0 0 0
716 70 14402 0 0 0 0
717 70 14410 0 0 0 0
718 70 14417 0 0 0 0
719 70 14419 0 0 0 0
720 70 14385 0 0 0 0
721 71 14499 0 0 0 0
722 71 14414 0 0 0 0
723 71 14365 0 0 0 0
724 71 14333 0 0 0 0
725 71 14307 0 0 0 0
726 72 14317 0 0 0 0
727 72 14354 0 0 0 0
728 73 14561 0 0 0 0
729 72 14378 0 0 0 0
730 72 14374 0 0 0 0
731 72 14359 0 0 0 0
732 72 14362 0 0 0 0
733 72 14405 0 0 0 0
734 71 14305 0 0 0 0
735 71 14413 0 0 0 0
736 71 14442 0 0 0 0
737 71 14325 0 0 0 0
738 71 14382 0 0 0 0
739 72 14441 0 0 0 0
740 72 14371 0 0 0 0
741 73 14566 0 0 0 0
742 73 14514 0 0 0 0
743 73 14442 0 0 0 0
744 73 14495 0 0 0 0
745 72 14339 0 0 0 0
746 73 14444 0 0 0 0
747 73 14359 0 0 0 0
748 73 14315 0 0 0 0
749 74 14577 0 0 0 0
750 74 14579 0 0 0 0
751 73 14405 0 0 0 0
752 72 14329 0 0 0 0
753 72 14293 0 0 0 0
754 72 14431 0 0 0 0
755 72 14514 0 0 0 0
756 72 14478 0 0 0 0
757 71 14317 0 0 0 0
758 71 14390 0 0 0 0
759 71 14419 0 0 0 0
760 71 14452 0 0 0 0
761 70 14208 0 0 0 0
762 70 14213 0 0 0 0
763 70 14199 0 0 0 0
764 71 14303 0 0 0 0
765 71 14383 0 0 0 0
766 71 14336 0 0 0 0
767 71 14341 0 0 0 0
768 71 14379 0 0 0 0
769 71 14367 0 0 0 0
770 71 14325 0 0 0 0
771 71 14454 0 0 0 0
772 71 14514 0 0 0 0
773 70 14472 0 0 0 0
774 69 14425 0 0 0 0
775 69 14566 0 0 0 0
776 68 14488 0 0 0 0
777 68 14515 0 0 0 0
778 67 14380 0 0 0 0
779 67 14434 0 0 0 0
780 66 14282 0 0 0 0
781 67 14429 0 0 0 0
782 67 14556 0 0 0 0
783 67 14359 0 0 0 0
784 67 14337 0 0 0 0
785 68 14466 0 0 0 0
786 69 14526 0 0 0 0
787 68 14310 0 0 0 0
788 70 14489 0 0 0 0
789 69 14258 0 0 0 0
790 70 14360 0 0 0 0
791 71 14435 0 0 0 0
792 71 14405 0 0 0 0
793 71 14488 0 0 0 0
794 70 14270 0 0 0 0
795 70 14440 0 0 0 0
796 69 14256 0 0 0 0
797 69 14352 0 0 0 0
798 69 14430 0 0 0 0
799 69 14392 0 0 0 0
800 68 14357 0 0 0 0
801 69 14487 0 0 0 0
802 69 14545 0 0 0 0
803 67 14246 0 0 0 0
804 68 14440 0 0 0 0
805 67 14258 0 0 0 0
806 68 14463 0 0 0 0
807 68 14446 0 0 0 0
808 68 14462 0 0 0 0
809 67 14294 0 0 0 0
810 67 14294 0 0 0 0
811 67 14396 0 0 0 0
812 67 14427 0 0 0 0
813 66 14352 0 0 0 0
814 65 14210 0 0 0 0
815 66 14469 0 0 1 1
816 65 14318 0 0 1 0
817 66 14529 0 0 1 0
818 65 14307 0 0 1 0
819 65 14298 0 0 1 0
820 66 14528 0 0 1 0
821 66 14397 0 0 0 0
822 66 14411 0 0 0 0
823 67 14479 0 0 0 0
824 67 14340 0 0 0 0
825 68 14472 0 0 0 0
826 69 14566 0 0 0 0
827 69 14479 0 0 0 0
828 70 14580 0 0 0 0
829 70 14470 0 0 0 0
830 71 14473 0 0 0 0
831 72 14522 0 0 0 0
832 72 14368 0 0 0 0
833 72 14447 0 0 0 0
834 72 14392 0 0 0 0
835 72 14409 0 0 0 0
836 71 14296 0 0 0 0
837 71 14283 0 0 0 0
838 71 14318 0 0 0 0
839 71 14349 0 0 0 0
840 71 14386 0 0 0 0
841 70 14268 0 0 0 0
842 70 14467 0 0 0 0
843 68 14267 0 0 0 0
844 68 14442 0 0 0 0
845 68 14475 0 0 0 0
846 67 14320 0 0 0 0
847 67 14413 0 0 0 0
848 67 14460 0 0 0 0
849 67 14520 0 0 0 0
850 66 14325 0 0 0 0
851 66 14325 0 0 0 0
852 66 14317 0 0 0 0
853 67 14486 0 0 0 0
854 67 14419 0 0 0 0
855 68 14458 0 0 0 0
856 68 14310 0 0 0 0
857 69 14347 0 0 0 0
858 70 14407 0 0 0 0
859 70 14244 0 0 0 0
860 71 14392 0 0 0 0
861 71 14322 0 0 0 0
862 72 14537 0 0 0 0
863 71 14328 0 0 0 0
864 71 14383 0 0 0 0
865 71 14429 0 0 0 0
866 70 14311 0 0 0 0
867 70 14455 0 0 0 0
868 69 14350 0 0 0 0
869 69 14482 0 0 0 0
870 69 14584 0 0 0 0
871 68 14462 0 0 0 0
872 68 14476 0 0 0 0
873 67 14310 0 0 0 0
874 67 14326 0 0 0 0
875 68 14546 0 0 0 0
876 67 14313 0 0 0 0
877 67 14281 0 0 0 0
878 68 14407 0 0 0 0
879 68 14329 0 0 0 0
880 69 14506 0 0 0 0
881 68 14266 0 0 0 0
882 68 14307 0 0 0 0
883 68 14335 0 0 0 0
884 68 14386 0 0 0 0
885 69 14544 0 0 0 0
886 68 14344 0 0 0 0
887 68 14329 0 0 0 0
888 69 14552 0 0 0 0
889 68 14400 0 0 0 0
890 68 14438 0 0 0 0
891 68 14449 0 0 0 0
892 68 14443 0 0 0 0
893 68 14502 0 0 0 0
894 68 14466 0 0 0 0
895 68 14447 0 0 0 0
896 68 14409 0 0 0 0
897 68 14451 0 0 0 0
898 68 14467 0 0 0 0
899 68 14516 0 0 0 0
900 67 14332 0 0 0 0
901 68 14510 0 0 0 0
902 68 14446 0 0 0 0
903 68 14447 0 0 0 0
904 67 14224 0 0 0 0
905 69 14455 0 0 0 0
906 69 14410 0 0 0 0
907 69 14326 0 0 0 0
908 69 14355 0 0 0 0
909 69 14415 0 0 0 0
910 69 14450 0 0 0 0
911 69 14413 0 0 0 0
912 69 14370 0 0 0 0
913 69 14308 0 0 0 0
914 69 14300 0 0 0 0
915 69 14301 0 0 0 0
916 70 14501 0 0 0 0
917 68 14264 0 0 0 0
918 68 14270 0 0 0 0
919 69 14593 0 0 0 0
920 68 14381 0 0 0 0
921 68 14304 0 0 0 0
922 69 14436 0 0 0 0
923 68 14230 0 0 0 0
924 69 14544 0 0 0 0
